"entity_id","sport_code","sport_desc","sport_particip_code","sport_participation_desc","start_dt","stop_dt"
772360,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
772360,"MACC","Crew - Men","P","Participated",NULL,NULL
772360,"MACR","Cross Country - Men","P","Participated",NULL,NULL
772424,"WACC","WIA Track/Cross Country","P","Participated",NULL,NULL
772424,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
772673,"WALC","Lacrosse - Women","P","Participated",NULL,NULL
772673,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
772811,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
772811,"WACC","WIA Track/Cross Country","P","Participated",NULL,NULL
772890,"RSFC","Cal Fencing Club","P","Participated",NULL,NULL
772965,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
772965,"MASO","Soccer - Men","P","Participated",NULL,NULL
773003,"RSFC","Cal Fencing Club","P","Participated",NULL,NULL
773268,"RSBX","Cal Boxing Club","P","Participated",NULL,NULL
773986,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
773986,"MARU","Rugby - Men","P","Participated",NULL,NULL
773986,"MAFL","Football - Men","P","Participated",NULL,NULL
773996,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
773996,"WAVB","Volleyball - Women","P","Participated",NULL,NULL
774104,"RSCY","Cal Cycling Club","P","Participated","2003-01-01 00:00:00","2008-12-31 00:00:00"
774104,"RSCS","Cal Ski Team","P","Participated",NULL,NULL
774125,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
774125,"MAFL","Football - Men","P","Participated",NULL,NULL
774412,"RSLC","Cal LaCrosse Club","P","Participated","2004-01-01 00:00:00","2007-05-18 00:00:00"
774430,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
774430,"MASO","Soccer - Men","P","Participated",NULL,NULL
774815,"WACW","Crew - Women","P","Participated","2003-08-01 00:00:00","2007-05-30 00:00:00"
774815,"ICA","Intercollegiate Athlete","P","Participated","2003-08-01 00:00:00","2007-05-30 00:00:00"
774910,"RSFC","Cal Fencing Club","P","Participated",NULL,NULL
774948,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
774948,"WAGO","Golf - Women","P","Participated",NULL,NULL
775001,"RSBX","Cal Boxing Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
775209,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
775209,"MABS","Baseball - Men","P","Participated",NULL,NULL
775287,"RSFC","Cal Fencing Club","P","Participated",NULL,NULL
